Reading training examples... 54 examples, 23058 tokens, 12 features, 25 classes... done
Iter 163: *(NumConst=128, SV=64, CEps=94.0441, QPEps=45.4208)
Iter 164: .........*(NumConst=128, SV=66, CEps=819.9642, QPEps=45.3129)
Iter 165: *(NumConst=128, SV=67, CEps=110.3491, QPEps=46.5884)
Iter 166: *(NumConst=129, SV=66, CEps=172.6609, QPEps=47.9490)
Iter 167: *(NumConst=130, SV=66, CEps=89.8002, QPEps=44.2878)
Iter 168: .........*(NumConst=131, SV=64, CEps=805.5662, QPEps=42.7961)
Iter 169: *(NumConst=132, SV=66, CEps=191.3597, QPEps=49.9797)
Iter 170: *(NumConst=132, SV=63, CEps=158.1519, QPEps=45.0432)
Iter 171: *(NumConst=133, SV=64, CEps=146.0400, QPEps=37.5912)
Iter 172: .........*(NumConst=134, SV=64, CEps=770.1555, QPEps=40.2851)
Iter 173: *(NumConst=135, SV=64, CEps=239.5473, QPEps=38.4144)
Iter 174: *(NumConst=135, SV=65, CEps=102.8931, QPEps=47.8040)
Iter 175: .........*(NumConst=136, SV=66, CEps=856.3031, QPEps=47.8630)
Iter 176: *(NumConst=136, SV=66, CEps=107.2121, QPEps=46.6977)
Iter 177: *(NumConst=133, SV=68, CEps=99.2011, QPEps=48.9944)
Iter 178: .........*(NumConst=131, SV=65, CEps=867.9280, QPEps=42.4995)
Iter 179: *(NumConst=132, SV=61, CEps=202.3146, QPEps=42.1910)
Iter 180: *(NumConst=132, SV=63, CEps=90.1854, QPEps=43.7669)
Iter 181: .........*(NumConst=132, SV=62, CEps=673.8129, QPEps=42.2163)
Iter 182: *(NumConst=132, SV=64, CEps=158.5569, QPEps=49.5149)
Iter 183: *(NumConst=132, SV=64, CEps=83.7399, QPEps=39.2372)
Iter 184: .........*(NumConst=132, SV=66, CEps=975.7466, QPEps=38.9085)
Iter 185: *(NumConst=131, SV=60, CEps=155.8295, QPEps=43.0409)
Iter 186: .........*(NumConst=132, SV=63, CEps=731.2796, QPEps=31.0426)
Iter 187: *(NumConst=132, SV=61, CEps=166.3355, QPEps=39.3967)
Iter 188: *(NumConst=133, SV=64, CEps=115.9193, QPEps=48.8205)
Iter 189: *(NumConst=134, SV=63, CEps=76.0674, QPEps=33.0692)
Iter 190: .........*(NumConst=132, SV=64, CEps=701.4812, QPEps=44.8725)
Iter 191: *(NumConst=132, SV=68, CEps=168.4002, QPEps=45.0952)
Iter 192: *(NumConst=133, SV=67, CEps=97.7688, QPEps=42.7674)
Iter 193: *(NumConst=134, SV=66, CEps=90.3532, QPEps=44.5711)
Iter 194: *(NumConst=133, SV=67, CEps=75.4421, QPEps=31.2012)
Iter 195: .........*(NumConst=134, SV=69, CEps=695.4552, QPEps=49.0762)
Iter 196: *(NumConst=132, SV=69, CEps=114.4831, QPEps=40.0562)
Iter 197: *(NumConst=132, SV=67, CEps=90.3889, QPEps=40.9797)
Iter 198: *(NumConst=130, SV=67, CEps=74.6917, QPEps=35.3542)
Iter 199: .........*(NumConst=130, SV=67, CEps=754.5186, QPEps=48.9948)
Iter 200: *(NumConst=130, SV=63, CEps=198.9174, QPEps=42.3952)
Iter 201: .........*(NumConst=129, SV=68, CEps=647.3133, QPEps=36.0130)
Iter 202: *(NumConst=129, SV=75, CEps=211.2731, QPEps=49.5391)
Iter 203: *(NumConst=130, SV=73, CEps=136.6783, QPEps=49.4453)
Iter 204: *(NumConst=130, SV=73, CEps=75.8520, QPEps=37.3243)
Iter 205: .........*(NumConst=130, SV=73, CEps=1015.7147, QPEps=40.3963)
Iter 206: .........*(NumConst=130, SV=72, CEps=738.0888, QPEps=48.2156)
Iter 207: *(NumConst=131, SV=74, CEps=112.6366, QPEps=43.7054)
Iter 208: .........*(NumConst=132, SV=74, CEps=807.3670, QPEps=40.7982)
Iter 209: *(NumConst=132, SV=75, CEps=139.3276, QPEps=43.2398)
Iter 210: *(NumConst=133, SV=75, CEps=126.6479, QPEps=40.7704)
Iter 211: .........*(NumConst=133, SV=70, CEps=586.7356, QPEps=44.2329)
Iter 212: *(NumConst=134, SV=73, CEps=134.7189, QPEps=42.4435)
Iter 213: *(NumConst=135, SV=73, CEps=107.6944, QPEps=48.6216)
Iter 214: *(NumConst=135, SV=74, CEps=112.1654, QPEps=44.2743)
Iter 215: .........*(NumConst=134, SV=75, CEps=739.6831, QPEps=47.5839)
Iter 216: *(NumConst=134, SV=74, CEps=134.7443, QPEps=49.9431)
Iter 217: .........*(NumConst=134, SV=76, CEps=572.1974, QPEps=43.3365)
Iter 218: *(NumConst=135, SV=75, CEps=243.3594, QPEps=47.8342)
Iter 219: *(NumConst=136, SV=76, CEps=91.6403, QPEps=42.5475)
Iter 220: *(NumConst=137, SV=74, CEps=149.9390, QPEps=42.8325)
Iter 221: *(NumConst=137, SV=75, CEps=85.5271, QPEps=38.9327)
Iter 222: .........*(NumConst=132, SV=76, CEps=1055.8952, QPEps=43.6055)
Iter 223: .........*(NumConst=133, SV=71, CEps=747.1298, QPEps=47.6654)
Iter 224: *(NumConst=133, SV=73, CEps=86.6899, QPEps=39.2598)
Iter 225: .........*(NumConst=132, SV=74, CEps=637.4374, QPEps=48.9862)
Iter 226: *(NumConst=132, SV=79, CEps=132.2550, QPEps=49.8915)
Iter 227: *(NumConst=132, SV=74, CEps=65.4278, QPEps=27.8759)
Iter 228: *(NumConst=133, SV=76, CEps=74.0191, QPEps=25.7292)
Iter 229: .........*(NumConst=133, SV=77, CEps=948.6767, QPEps=45.8194)
Iter 230: *(NumConst=134, SV=77, CEps=110.1813, QPEps=48.3518)
Iter 231: .........*(NumConst=133, SV=77, CEps=581.3577, QPEps=49.8551)
Iter 232: *(NumConst=133, SV=75, CEps=130.2108, QPEps=47.0567)
Iter 233: *(NumConst=134, SV=77, CEps=78.6421, QPEps=38.7664)
Iter 234: *(NumConst=133, SV=78, CEps=86.1317, QPEps=38.8745)
Iter 235: .........*(NumConst=134, SV=79, CEps=1048.1493, QPEps=47.3580)
Iter 236: .........*(NumConst=134, SV=78, CEps=794.9438, QPEps=44.0316)
Iter 237: *(NumConst=135, SV=78, CEps=99.8961, QPEps=42.2812)
Iter 238: .........*(NumConst=135, SV=78, CEps=804.8106, QPEps=44.9671)
Iter 239: *(NumConst=136, SV=77, CEps=158.0475, QPEps=47.5122)
Iter 240: *(NumConst=137, SV=77, CEps=113.4656, QPEps=45.2644)
Iter 241: .........*(NumConst=137, SV=81, CEps=597.4096, QPEps=47.0543)
Iter 242: *(NumConst=138, SV=85, CEps=212.5457, QPEps=48.2604)
Iter 243: *(NumConst=137, SV=81, CEps=153.3756, QPEps=43.3928)
Iter 244: .........*(NumConst=137, SV=73, CEps=681.5120, QPEps=48.4293)
Iter 245: *(NumConst=137, SV=77, CEps=189.4644, QPEps=45.7967)
Iter 246: .........*(NumConst=138, SV=74, CEps=713.7917, QPEps=44.3931)
Iter 247: *(NumConst=139, SV=71, CEps=124.4185, QPEps=47.2812)
Iter 248: *(NumConst=140, SV=75, CEps=78.0774, QPEps=36.0552)
Iter 249: .........*(NumConst=139, SV=74, CEps=659.6794, QPEps=44.3376)
Iter 250: *(NumConst=138, SV=76, CEps=180.0069, QPEps=45.6224)
Iter 251: .........*(NumConst=138, SV=75, CEps=656.7890, QPEps=47.6222)
Iter 252: *(NumConst=136, SV=76, CEps=127.8074, QPEps=43.8402)
Iter 253: *(NumConst=136, SV=79, CEps=144.0104, QPEps=44.0170)
Iter 254: .........*(NumConst=136, SV=76, CEps=624.2932, QPEps=48.8425)
Iter 255: *(NumConst=135, SV=75, CEps=125.0434, QPEps=49.7987)
Iter 256: *(NumConst=136, SV=76, CEps=78.6853, QPEps=33.2032)
Iter 257: *(NumConst=136, SV=73, CEps=71.8811, QPEps=35.7558)
Iter 258: .........*(NumConst=137, SV=75, CEps=660.6380, QPEps=45.9184)
Iter 259: *(NumConst=138, SV=75, CEps=158.6736, QPEps=45.8178)
Iter 260: *(NumConst=137, SV=76, CEps=90.8988, QPEps=42.4125)
Iter 261: .........*(NumConst=138, SV=77, CEps=519.3517, QPEps=48.4340)
Iter 262: *(NumConst=139, SV=73, CEps=166.6485, QPEps=46.8354)
Iter 263: *(NumConst=139, SV=72, CEps=179.7143, QPEps=45.4683)
Iter 264: *(NumConst=140, SV=72, CEps=144.2528, QPEps=49.8644)
Iter 265: *(NumConst=141, SV=70, CEps=102.2616, QPEps=47.3072)
Iter 266: *(NumConst=140, SV=70, CEps=78.3435, QPEps=36.4632)
Iter 267: .........*(NumConst=140, SV=71, CEps=927.4462, QPEps=49.6117)
Iter 268: *(NumConst=138, SV=72, CEps=120.1192, QPEps=49.6387)
Iter 269: .........*(NumConst=139, SV=72, CEps=629.4813, QPEps=41.4985)
Iter 270: *(NumConst=140, SV=70, CEps=136.8380, QPEps=42.7473)
Iter 271: *(NumConst=141, SV=72, CEps=110.5282, QPEps=43.1957)
Iter 272: *(NumConst=139, SV=73, CEps=90.6061, QPEps=42.8444)
Iter 273: *(NumConst=140, SV=72, CEps=63.1886, QPEps=30.3614)
Iter 274: .........*(NumConst=140, SV=72, CEps=1032.6159, QPEps=32.5432)
Iter 275: *(NumConst=141, SV=71, CEps=109.9734, QPEps=39.7131)
